20:51        15.0 / 5.0 = 3.0 
20:54      98.0 * 652.0 = 63896.0 
21:31        54.0 / 68089.0 = 0.0007930796457577583 
22:13         10+9i + 11+5i = 10+9i11+5i 
22:16         (10+5j) + 52j = (10+57j) 
22:18         (20+5j) + (54+12j) = (74+17j) 
22:18            (20+5j) - (54+12j) = (-34-7j) 
22:18      (20+5j) * (54+12j) = (1020+510j) 
22:18        (20+5j) / (54+12j) = (0.37254901960784315+0.009803921568627447j) 
22:18        (20+5j) / (54+12j) = (0.37254901960784315+0.009803921568627447j) 
22:18        (20+5j) / (54+12j) = (0.37254901960784315+0.009803921568627447j) 
